interest,registration,vote_2016,vote_intention,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,state,congress_district,language,vote_biden,age_group,race,education_level,stateicp
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Conservative,Permanently disabled,The United States,male,South,not hispanic,White,"Less than $50,000",LA,,"No, we speak only English.",0,age_45-59,white,High school or less,louisiana
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,Northeast,not hispanic,White,"$200,000 to $249,999",NY,NY12,"No, we speak only English.",0,age_30-44,white,Graduate degree,new york
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Full-time employed,The United States,male,Midwest,not hispanic,White,"Less than $50,000",MI,MI05,"Yes, we speak Spanish.",1,age_18-29,white,Post secondary or higher,michigan
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Conservative,Full-time employed,The United States,female,Midwest,not hispanic,"Black, or African American","Less than $50,000",MI,MI14,"No, we speak only English.",1,age_60_or_more,black,Graduate degree,michigan
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Moderate,Part-time employed,The United States,female,West,not hispanic,White,"$250,000 and above",WA,WA03,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,washington
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,male,South,not hispanic,White,"$150,000 to $199,999",FL,FL09,"No, we speak only English.",1,age_30-44,white,Graduate degree,florida
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Liberal,Full-time employed,The United States,male,Northeast,not hispanic,White,"$250,000 and above",NY,,"Yes, we speak Spanish.",0,age_30-44,white,Post secondary or higher,new york
Some of the time,Registered,Hillary Clinton,"Yes, I already voted",Liberal,Retired,The United States,female,South,not hispanic,"Black, or African American","$50,000 to $99,999",AR,AR02,"No, we speak only English.",1,age_60_or_more,black,Some post secondary,arkansas
Most of the time,Registered,Jill Stein,"Yes, I will vote",Very Liberal,Unemployed or temporarily on layoff,The United States,male,Northeast,not hispanic,"Black, or African American","Less than $50,000",PA,PA05,"No, we speak only English.",1,age_30-44,black,Some post secondary,pennsylvania
Some of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Full-time employed,The United States,male,Northeast,not hispanic,White,"$150,000 to $199,999",NY,,"No, we speak only English.",0,age_30-44,white,Graduate degree,new york
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Retired,The United States,male,West,not hispanic,White,"Less than $50,000",CA,CA15,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,california
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Part-time employed,The United States,female,West,hispanic,White,"$200,000 to $249,999",UT,UT04,"Yes, we speak Spanish.",1,age_18-29,white,Some post secondary,utah
Some of the time,Registered,Don't recall,"Yes, I will vote",Moderate,Part-time employed,The United States,male,West,hispanic,American Indian or Alaska Native,"Less than $50,000",WA,WA03,"No, we speak only English.",1,age_18-29,"other race, nec",High school or less,washington
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Student,The United States,female,West,not hispanic,Asian (Filipino),"Less than $50,000",CA,CA03,"No, we speak only English.",1,age_18-29,asian,Some post secondary,california
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Very Liberal,Full-time employed,The United States,female,Midwest,not hispanic,"Black, or African American","Less than $50,000",MI,MI03,"Yes, we speak Spanish.",1,age_18-29,black,Post secondary or higher,michigan
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Liberal,Part-time employed,The United States,female,West,hispanic,Some other race,"Less than $50,000",CA,CA36,"Yes, we speak Spanish.",1,age_18-29,"other race, nec",High school or less,california
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Full-time employed,The United States,male,Northeast,not hispanic,White,"$100,000 to $149,999",NY,NY02,"No, we speak only English.",0,age_45-59,white,Some post secondary,new york
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Liberal,Full-time employed,The United States,female,Midwest,not hispanic,"Black, or African American","Less than $50,000",KS,KS03,"No, we speak only English.",1,age_18-29,black,Post secondary or higher,kansas
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",OH,OH15,"No, we speak only English.",1,age_60_or_more,white,High school or less,ohio
Most of the time,Registered,Someone else:,"Yes, I will vote",Moderate,Self-employed,The United States,male,Northeast,not hispanic,White,"$50,000 to $99,999",NY,,"No, we speak only English.",1,age_30-44,white,Graduate degree,new york
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,Northeast,not hispanic,White,"$100,000 to $149,999",NY,,"No, we speak only English.",0,age_30-44,white,Post secondary or higher,new york
Only now and then,Not registered,Don't recall,"No, I am not eligible to vote",Very Liberal,Part-time employed,The United States,female,West,not hispanic,White,"Less than $50,000",CA,CA14,"No, we speak only English.",1,age_18-29,white,Some post secondary,california
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Conservative,Full-time employed,The United States,female,Midwest,not hispanic,White,"$100,000 to $149,999",MI,MI06,"No, we speak only English.",0,age_45-59,white,Post secondary or higher,michigan
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Part-time employed,The United States,female,West,not hispanic,White,"$50,000 to $99,999",CA,CA23,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,california
Some of the time,Registered,Donald Trump,"Yes, I will vote",Liberal,Full-time employed,The United States,female,South,not hispanic,White,"$200,000 to $249,999",TX,TX23,"No, we speak only English.",0,age_30-44,white,Graduate degree,texas
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Liberal,Self-employed,The United States,female,South,not hispanic,White,"Less than $50,000",TX,TX01,"No, we speak only English.",0,age_30-44,white,High school or less,texas
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Liberal,Self-employed,The United States,female,West,not hispanic,White,"$50,000 to $99,999",NV,NV04,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,nevada
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Conservative,Part-time employed,The United States,female,West,not hispanic,White,"Less than $50,000",NM,NM01,"No, we speak only English.",1,age_30-44,white,High school or less,new mexico
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Self-employed,The United States,female,West,hispanic,Some other race,"Less than $50,000",NV,NV04,"No, we speak only English.",1,age_18-29,"other race, nec",Post secondary or higher,nevada
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Moderate,Unemployed or temporarily on layoff,The United States,male,Midwest,not hispanic,"Black, or African American","Less than $50,000",WI,WI04,"No, we speak only English.",1,age_18-29,black,High school or less,wisconsin
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,female,West,not hispanic,"Black, or African American","Less than $50,000",AZ,AZ09,"Yes, we speak Spanish.",1,age_18-29,black,High school or less,arizona
Some of the time,Registered,Was not eligible to vote,"Yes, I already voted",Liberal,Full-time employed,The United States,female,Northeast,not hispanic,"Black, or African American","Less than $50,000",PA,PA10,"Yes, we speak a language other than Spanish or English.",1,age_18-29,black,High school or less,pennsylvania
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Self-employed,The United States,male,Northeast,not hispanic,White,"Less than $50,000",NY,NY01,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,new york
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,male,Northeast,not hispanic,White,"$50,000 to $99,999",NY,NY22,"No, we speak only English.",0,age_30-44,white,Some post secondary,new york
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Very Liberal,Part-time employed,Another country,female,West,hispanic,White,"$50,000 to $99,999",NV,NV01,"Yes, we speak Spanish.",1,age_45-59,white,Graduate degree,nevada
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Self-employed,The United States,female,West,not hispanic,White,"Less than $50,000",UT,UT03,"No, we speak only English.",0,age_30-44,white,Post secondary or higher,utah
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Not Sure,Student,The United States,female,West,not hispanic,"Black, or African American","Less than $50,000",CA,,"No, we speak only English.",1,age_18-29,black,High school or less,california
Only now and then,Don't know,"Did not vote, but was eligible","Yes, I will vote",Not Sure,Other:,The United States,female,West,hispanic,"Black, or African American","Less than $50,000",AZ,AZ08,"Yes, we speak Spanish.",1,age_18-29,black,Graduate degree,arizona
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Moderate,Part-time employed,The United States,female,West,not hispanic,White,"Less than $50,000",CA,CA08,"No, we speak only English.",1,age_18-29,white,High school or less,california
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Full-time employed,Another country,male,South,hispanic,White,"$200,000 to $249,999",GA,,"Yes, we speak Spanish.",1,age_45-59,white,Graduate degree,georgia
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Moderate,Unemployed or temporarily on layoff,The United States,male,West,not hispanic,White,"$100,000 to $149,999",CA,CA25,"Yes, we speak a language other than Spanish or English.",0,age_30-44,white,Post secondary or higher,california
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Part-time employed,The United States,female,West,not hispanic,White,"$100,000 to $149,999",OR,OR03,"No, we speak only English.",1,age_45-59,white,Graduate degree,oregon
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Not Sure,Part-time employed,The United States,female,Midwest,not hispanic,White,"Less than $50,000",MI,MI06,"No, we speak only English.",0,age_18-29,white,High school or less,michigan
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Moderate,Full-time employed,The United States,female,West,not hispanic,White,"$50,000 to $99,999",OR,OR03,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,oregon
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Other:,The United States,male,Midwest,not hispanic,Asian (Other),"Less than $50,000",MN,MN05,"Yes, we speak a language other than Spanish or English.",1,age_18-29,asian,Post secondary or higher,minnesota
Only now and then,Not registered,Hillary Clinton,"Yes, I will vote",Moderate,Part-time employed,The United States,male,Midwest,hispanic,White,"Less than $50,000",MO,MO07,"No, we speak only English.",1,age_18-29,white,High school or less,missouri
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Homemaker,The United States,female,West,not hispanic,White,"$50,000 to $99,999",CA,CA09,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,california
Only now and then,Registered,Hillary Clinton,"Yes, I already voted",Moderate,Part-time employed,The United States,female,Midwest,not hispanic,"Black, or African American","Less than $50,000",WI,WI01,"Yes, we speak Spanish.",1,age_18-29,black,Graduate degree,wisconsin
Some of the time,Don't know,Someone else:,"Yes, I will vote",Moderate,Unemployed or temporarily on layoff,The United States,female,Midwest,not hispanic,White,"Less than $50,000",MI,MI03,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,michigan
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,Midwest,not hispanic,White,"$100,000 to $149,999",MN,MN04,"No, we speak only English.",0,age_18-29,white,Some post secondary,minnesota
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Retired,The United States,female,West,not hispanic,White,"Less than $50,000",WA,WA06,"No, we speak only English.",0,age_60_or_more,white,Some post secondary,washington
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,Midwest,not hispanic,White,"$100,000 to $149,999",MN,MN03,"No, we speak only English.",0,age_30-44,white,Post secondary or higher,minnesota
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Moderate,Self-employed,The United States,female,South,not hispanic,White,"Less than $50,000",FL,FL05,"No, we speak only English.",0,age_30-44,white,High school or less,florida
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,male,Northeast,not hispanic,White,"Less than $50,000",PA,PA13,"Yes, we speak a language other than Spanish or English.",0,age_30-44,white,High school or less,pennsylvania
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Self-employed,The United States,male,South,hispanic,White,"$50,000 to $99,999",TX,TX15,"Yes, we speak Spanish.",0,age_30-44,white,Some post secondary,texas
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Full-time employed,The United States,male,West,not hispanic,White,"$50,000 to $99,999",CA,CA30,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,california
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,female,West,not hispanic,Some other race,"Less than $50,000",WA,WA02,"No, we speak only English.",1,age_30-44,"other race, nec",Post secondary or higher,washington
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,female,South,not hispanic,White,"$50,000 to $99,999",TX,TX36,"No, we speak only English.",0,age_30-44,white,Some post secondary,texas
Most of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Not Sure,Full-time employed,The United States,male,Midwest,not hispanic,White,"$50,000 to $99,999",WI,WI07,"No, we speak only English.",0,age_45-59,white,Some post secondary,wisconsin
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Full-time employed,The United States,male,Midwest,not hispanic,White,"Less than $50,000",NE,NE02,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,nebraska
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,male,Northeast,not hispanic,White,"$150,000 to $199,999",NJ,NJ07,"No, we speak only English.",0,age_45-59,white,Graduate degree,new jersey
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Liberal,Student,Another country,male,West,not hispanic,Asian (Filipino),"$50,000 to $99,999",CA,CA38,"Yes, we speak a language other than Spanish or English.",1,age_18-29,asian,Post secondary or higher,california
Only now and then,Don't know,"Did not vote, but was eligible",Not sure,Moderate,Self-employed,The United States,male,South,not hispanic,White,"$50,000 to $99,999",NC,NC07,"Yes, we speak a language other than Spanish or English.",1,age_30-44,white,Post secondary or higher,north carolina
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,The United States,male,South,not hispanic,White,"Less than $50,000",FL,FL14,"No, we speak only English.",1,age_60_or_more,white,Some post secondary,florida
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Moderate,Full-time employed,The United States,male,West,not hispanic,White,"$50,000 to $99,999",OR,OR01,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,oregon
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,South,not hispanic,White,"Less than $50,000",VA,VA07,"Yes, we speak a language other than Spanish or English.",0,age_60_or_more,white,Post secondary or higher,virginia
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,male,Northeast,not hispanic,White,"$50,000 to $99,999",NY,NY23,"No, we speak only English.",0,age_45-59,white,High school or less,new york
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Retired,The United States,female,Midwest,not hispanic,White,"Less than $50,000",OH,OH10,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,ohio
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Self-employed,The United States,male,Midwest,not hispanic,White,"Less than $50,000",IN,IN06,"No, we speak only English.",0,age_18-29,white,High school or less,indiana
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,The United States,male,South,not hispanic,White,"$50,000 to $99,999",FL,FL22,"No, we speak only English.",1,age_60_or_more,white,Some post secondary,florida
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,female,South,not hispanic,White,"$100,000 to $149,999",AL,AL01,"No, we speak only English.",0,age_30-44,white,Post secondary or higher,alabama
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Moderate,Unemployed or temporarily on layoff,The United States,male,South,not hispanic,"Black, or African American","Less than $50,000",LA,LA04,"No, we speak only English.",0,age_30-44,black,High school or less,louisiana
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Self-employed,The United States,male,West,not hispanic,White,"$50,000 to $99,999",CA,CA50,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,california
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Not Sure,Student,The United States,male,West,not hispanic,"Black, or African American","Less than $50,000",UT,UT03,"Yes, we speak a language other than Spanish or English.",1,age_18-29,black,High school or less,utah
Hardly at all,Registered,"Did not vote, but was eligible","Yes, I will vote",Conservative,Retired,The United States,female,Northeast,not hispanic,White,"$100,000 to $149,999",CT,CT02,"No, we speak only English.",1,age_60_or_more,white,Graduate degree,connecticut
Most of the time,Registered,Don't recall,"Yes, I will vote",Liberal,Unemployed or temporarily on layoff,The United States,male,South,not hispanic,"Black, or African American","Less than $50,000",MS,MS03,"No, we speak only English.",1,age_18-29,black,Some post secondary,mississippi
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Part-time employed,The United States,male,Northeast,not hispanic,White,"Less than $50,000",NY,NY09,"No, we speak only English.",0,age_18-29,white,High school or less,new york
Some of the time,Don't know,"Did not vote, but was eligible",Not sure,Moderate,Permanently disabled,The United States,female,South,not hispanic,White,"Less than $50,000",WV,WV01,"No, we speak only English.",0,age_45-59,white,Post secondary or higher,west virginia
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Homemaker,The United States,female,South,not hispanic,White,"$150,000 to $199,999",DC,DC00,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,district of columbia
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,male,South,not hispanic,White,"Less than $50,000",TN,TN06,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,tennessee
Most of the time,Registered,Was not eligible to vote,"Yes, I already voted",Moderate,Self-employed,The United States,male,Northeast,not hispanic,White,"$50,000 to $99,999",NJ,NJ11,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,new jersey
Only now and then,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,South,not hispanic,White,"$200,000 to $249,999",SC,SC07,"No, we speak only English.",0,age_60_or_more,white,Post secondary or higher,south carolina
Only now and then,Not registered,Was not eligible to vote,Not sure,Not Sure,Self-employed,The United States,female,South,not hispanic,White,"Less than $50,000",LA,LA03,"No, we speak only English.",1,age_30-44,white,High school or less,louisiana
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Full-time employed,The United States,male,Midwest,not hispanic,White,"$250,000 and above",IL,IL11,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,illinois
Most of the time,Registered,Someone else:,"Yes, I will vote",Very Liberal,Full-time employed,Another country,male,Northeast,not hispanic,Asian (Filipino),"$150,000 to $199,999",PA,PA11,"No, we speak only English.",1,age_30-44,asian,Post secondary or higher,pennsylvania
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Liberal,Retired,The United States,male,Midwest,not hispanic,White,"$50,000 to $99,999",MI,MI09,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,michigan
Some of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,female,Northeast,not hispanic,White,"$100,000 to $149,999",CT,CT02,"No, we speak only English.",0,age_45-59,white,Post secondary or higher,connecticut
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,male,South,not hispanic,White,"Less than $50,000",TX,TX24,"No, we speak only English.",1,age_60_or_more,white,High school or less,texas
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Conservative,Self-employed,The United States,male,Northeast,not hispanic,White,"$250,000 and above",NY,NY10,"No, we speak only English.",0,age_30-44,white,Graduate degree,new york
Most of the time,Registered,Donald Trump,"Yes, I will vote",Liberal,Full-time employed,The United States,male,Northeast,not hispanic,White,"$250,000 and above",NY,NY10,"No, we speak only English.",0,age_30-44,white,Graduate degree,new york
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Permanently disabled,The United States,female,West,not hispanic,White,"Less than $50,000",CA,CA23,"No, we speak only English.",1,age_45-59,white,Some post secondary,california
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Liberal,Unemployed or temporarily on layoff,The United States,male,West,hispanic,Some other race,"$50,000 to $99,999",CA,CA23,"Yes, we speak Spanish.",1,age_18-29,"other race, nec",Some post secondary,california
Only now and then,Not registered,Don't recall,"No, I am not eligible to vote",Not Sure,Part-time employed,The United States,female,Northeast,not hispanic,White,"Less than $50,000",NY,NY22,"No, we speak only English.",1,age_30-44,white,High school or less,new york
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,Moderate,Retired,The United States,female,Midwest,not hispanic,White,"Less than $50,000",IL,IL08,"No, we speak only English.",1,age_60_or_more,white,Some post secondary,illinois
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Conservative,Full-time employed,The United States,female,Midwest,not hispanic,White,"Less than $50,000",OH,OH01,"No, we speak only English.",0,age_30-44,white,Some post secondary,ohio
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",IL,IL14,"No, we speak only English.",0,age_45-59,white,High school or less,illinois
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Permanently disabled,The United States,female,South,not hispanic,"Black, or African American","Less than $50,000",GA,GA03,"No, we speak only English.",1,age_60_or_more,black,Some post secondary,georgia
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,"Black, or African American","Less than $50,000",NC,NC02,"No, we speak only English.",1,age_18-29,black,High school or less,north carolina
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Part-time employed,The United States,male,Midwest,not hispanic,White,"$50,000 to $99,999",IN,IN02,"No, we speak only English.",1,age_60_or_more,white,Some post secondary,indiana
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,male,West,not hispanic,White,"Less than $50,000",CO,CO05,"No, we speak only English.",0,age_60_or_more,white,Some post secondary,colorado
Some of the time,Registered,Donald Trump,"Yes, I already voted",Moderate,Permanently disabled,The United States,female,Midwest,not hispanic,White,"Less than $50,000",MI,MI03,"No, we speak only English.",1,age_45-59,white,Some post secondary,michigan
Hardly at all,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Very Liberal,Full-time employed,The United States,female,Midwest,not hispanic,White,"Less than $50,000",WI,WI06,"No, we speak only English.",1,age_30-44,white,Some post secondary,wisconsin
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,South,not hispanic,White,"$100,000 to $149,999",FL,FL09,"No, we speak only English.",0,age_30-44,white,Graduate degree,florida
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Unemployed or temporarily on layoff,The United States,female,Midwest,not hispanic,White,"Less than $50,000",WI,WI01,"No, we speak only English.",1,age_30-44,white,Some post secondary,wisconsin
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Full-time employed,The United States,female,Northeast,not hispanic,Some other race,"Less than $50,000",PA,PA05,"No, we speak only English.",1,age_30-44,"other race, nec",High school or less,pennsylvania
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Homemaker,Another country,female,Midwest,not hispanic,"Black, or African American","$50,000 to $99,999",IN,IN03,"No, we speak only English.",1,age_45-59,black,Post secondary or higher,indiana
Some of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Permanently disabled,The United States,male,South,not hispanic,White,"$50,000 to $99,999",DE,DE00,"No, we speak only English.",0,age_45-59,white,Some post secondary,delaware
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Moderate,Permanently disabled,The United States,female,Northeast,not hispanic,White,"Less than $50,000",NH,NH02,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,new hampshire
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Retired,The United States,female,South,not hispanic,"Black, or African American","Less than $50,000",FL,FL27,"No, we speak only English.",1,age_60_or_more,black,Graduate degree,florida
Some of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Retired,The United States,male,South,not hispanic,White,"$50,000 to $99,999",TX,TX16,"No, we speak only English.",0,age_60_or_more,white,Post secondary or higher,texas
Most of the time,Registered,Jill Stein,"Yes, I will vote",Moderate,Retired,The United States,male,South,not hispanic,White,"$50,000 to $99,999",VA,VA08,"No, we speak only English.",1,age_45-59,white,Some post secondary,virginia
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Full-time employed,The United States,female,South,not hispanic,"Black, or African American","Less than $50,000",GA,GA12,"Yes, we speak Spanish.",1,age_45-59,black,Post secondary or higher,georgia
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Full-time employed,The United States,male,South,not hispanic,White,"$100,000 to $149,999",GA,GA07,"No, we speak only English.",0,age_45-59,white,Post secondary or higher,georgia
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Full-time employed,The United States,female,West,not hispanic,Asian (Asian Indian),"Less than $50,000",CA,CA31,"Yes, we speak a language other than Spanish or English.",1,age_30-44,asian,Graduate degree,california
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Unemployed or temporarily on layoff,The United States,female,Northeast,not hispanic,White,"$100,000 to $149,999",RI,RI02,"No, we speak only English.",1,age_18-29,white,Some post secondary,rhode island
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,White,"Less than $50,000",AR,AR02,"No, we speak only English.",1,age_30-44,white,Some post secondary,arkansas
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Full-time employed,The United States,female,South,not hispanic,"Black, or African American","Less than $50,000",FL,,"No, we speak only English.",1,age_18-29,black,Some post secondary,florida
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Conservative,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,White,"Less than $50,000",FL,FL09,"No, we speak only English.",0,age_30-44,white,High school or less,florida
Some of the time,Not registered,Was not eligible to vote,Not sure,Moderate,Unemployed or temporarily on layoff,The United States,male,West,not hispanic,Pacific Islander (Native Hawaiian),"Less than $50,000",HI,HI02,"No, we speak only English.",0,age_18-29,asian,High school or less,hawaii
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,female,South,not hispanic,White,"Less than $50,000",AR,AR01,"No, we speak only English.",1,age_45-59,white,Graduate degree,arkansas
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,South,not hispanic,White,"$200,000 to $249,999",FL,FL10,"No, we speak only English.",1,age_30-44,white,Graduate degree,florida
Only now and then,Registered,Someone else:,"Yes, I will vote",Moderate,Student,The United States,male,Midwest,not hispanic,White,"Less than $50,000",IA,IA02,"No, we speak only English.",1,age_18-29,white,Some post secondary,iowa
Some of the time,Not registered,Was not eligible to vote,"Yes, I will vote",Liberal,Unemployed or temporarily on layoff,The United States,female,South,hispanic,Some other race,"Less than $50,000",FL,FL09,"Yes, we speak Spanish.",1,age_18-29,"other race, nec",High school or less,florida
Some of the time,Registered,Donald Trump,"Yes, I will vote",Not Sure,Homemaker,The United States,female,South,not hispanic,White,"$150,000 to $199,999",FL,FL17,"No, we speak only English.",0,age_60_or_more,white,High school or less,florida
Only now and then,Not registered,Don't recall,"Yes, I already voted",Conservative,Self-employed,The United States,female,South,hispanic,"Black, or African American","$250,000 and above",TX,TX05,"Yes, we speak Spanish.",1,age_18-29,black,Post secondary or higher,texas
