interest,registration,vote_2016,vote_intention,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,state,congress_district,language,vote_biden,age_group,race,education_level,stateicp
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Moderate,Full-time employed,The United States,female,West,not hispanic,White,"Less than $50,000",ID,ID02,"No, we speak only English.",0,age_45-59,white,High school or less,idaho
Only now and then,Don't know,Was not eligible to vote,Not sure,Not Sure,Student,The United States,female,West,not hispanic,"Black, or African American","Less than $50,000",AZ,AZ07,"No, we speak only English.",1,age_18-29,black,High school or less,arizona
Most of the time,Registered,Donald Trump,"Yes, I already voted",Moderate,Full-time employed,The United States,female,South,not hispanic,White,"Less than $50,000",OK,OK02,"No, we speak only English.",0,age_60_or_more,white,Some post secondary,oklahoma
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,"Black, or African American","Less than $50,000",NC,NC01,"No, we speak only English.",1,age_30-44,black,Some post secondary,north carolina
Only now and then,Registered,Hillary Clinton,Not sure,Moderate,Student,The United States,female,South,not hispanic,White,"Less than $50,000",TX,TX04,"No, we speak only English.",1,age_18-29,white,Some post secondary,texas
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Retired,The United States,female,South,not hispanic,"Black, or African American","$50,000 to $99,999",LA,LA04,"No, we speak only English.",1,age_45-59,black,Graduate degree,louisiana
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Retired,The United States,female,Midwest,not hispanic,White,"Less than $50,000",OH,OH06,"No, we speak only English.",0,age_60_or_more,white,High school or less,ohio
Some of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Permanently disabled,The United States,female,South,not hispanic,White,"Less than $50,000",TX,TX01,"No, we speak only English.",0,age_45-59,white,Some post secondary,texas
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,female,Northeast,not hispanic,White,"$100,000 to $149,999",NJ,NJ05,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,new jersey
Some of the time,Registered,Donald Trump,"Yes, I will vote",Liberal,Retired,The United States,female,Northeast,not hispanic,White,"Less than $50,000",RI,RI02,"No, we speak only English.",1,age_60_or_more,white,Some post secondary,rhode island
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,The United States,female,Northeast,not hispanic,White,"Less than $50,000",MA,MA01,"No, we speak only English.",1,age_60_or_more,white,High school or less,massachusetts
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,male,Midwest,not hispanic,White,"$100,000 to $149,999",OH,OH07,"No, we speak only English.",0,age_45-59,white,Post secondary or higher,ohio
Only now and then,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Moderate,Part-time employed,The United States,male,South,not hispanic,White,"Less than $50,000",TX,TX12,"No, we speak only English.",0,age_45-59,white,Some post secondary,texas
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,male,West,not hispanic,"Black, or African American","$50,000 to $99,999",CA,CA12,"No, we speak only English.",1,age_18-29,black,Graduate degree,california
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Retired,Another country,male,South,not hispanic,Asian (Korean),"Less than $50,000",FL,FL14,"No, we speak only English.",1,age_30-44,asian,Post secondary or higher,florida
Most of the time,Registered,Jill Stein,"Yes, I will vote",Moderate,Part-time employed,The United States,female,Northeast,not hispanic,White,"Less than $50,000",CT,CT02,"No, we speak only English.",1,age_18-29,white,High school or less,connecticut
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,female,Midwest,not hispanic,White,"Less than $50,000",OH,OH16,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,ohio
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,male,West,not hispanic,White,"$100,000 to $149,999",CA,CA34,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,california
Some of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,Another country,male,West,not hispanic,Asian (Asian Indian),"$100,000 to $149,999",CA,CA33,"No, we speak only English.",0,age_18-29,asian,Graduate degree,california
